Metropolitan Area (MSA),UHII Level,# ZIP Codes,# Hospitalizations,99th Temp. %ile (°C),MHT (°C) (95% CI),RR (99th vs. MHP) (95% CI),AN (Temp.  ≥ MHP) (95% CI),"Annual AR (Per 100,000 Beneficiaries) (95% CI)"
"Cleveland-Elyria, OH",High UHII,23,"254,967",27.1,"24.0 (23.4, 24.8)","1.050 (0.992, 1.112)","351 (236, 467)","24.50 (16.42, 32.55)"
"Colorado Springs, CO",Overall,41,"91,681",25.4,"22.1 (21.5, 23.1)","1.017 (0.948, 1.092)","46 (-4, 100)","4.43 (-0.37, 9.59)"
"Colorado Springs, CO",Low UHII,15,"31,375",25.1,"22.0 (20.6, 29.3)","1.042 (0.926, 1.173)","62 (4, 109)","16.12 (1.14, 28.43)"
"Colorado Springs, CO",High UHII,-,-,-,-,-,-,-
"Columbia, SC",Overall,36,"148,035",30.5,"27.7 (27.3, 28.4)","1.053 (0.980, 1.132)","212 (135, 289)","18.37 (11.74, 25.13)"
"Columbia, SC",Low UHII,10,"50,386",30.4,"27.9 (26.9, 33.7)","1.049 (0.938, 1.172)","70 (-5, 137)","16.82 (-1.31, 32.99)"
"Columbia, SC",High UHII,7,"22,307",30.5,"27.8 (27.3, 28.5)","1.024 (0.921, 1.138)","27 (-11, 64)","17.21 (-7, 41.24)"
"Columbus, OH",Overall,71,"370,048",27.1,"24.4 (23.9, 25.2)","1.023 (0.974, 1.075)","237 (147, 330)","8.34 (5.16, 11.62)"
"Columbus, OH",Low UHII,24,"75,038",27,"24.6 (23.4, 31.2)","1.003 (0.917, 1.096)","3 (-60, 63)","0.46 (-9.31, 9.81)"
"Columbus, OH",High UHII,17,"80,853",27.2,"24.5 (24.0, 25.2)","1.020 (0.955, 1.089)","77 (20, 139)","13.96 (3.56, 25.23)"
"Dallas-Plano-Irving, TX",Overall,179,"671,322",33,"30.3 (29.7, 31.1)","0.992 (0.953, 1.033)","-296 (-393, -205)","-5.25 (-6.95, -3.62)"
"Dallas-Plano-Irving, TX",Low UHII,42,"148,175",32.8,"30.3 (29.1, 36.4)","0.990 (0.923, 1.061)","-62 (-129, 2)","-5.15 (-10.78, 0.15)"
"Dallas-Plano-Irving, TX",High UHII,9,"2,159",33.1,"30.4 (29.9, 31.2)","1.041 (0.918, 1.181)","2 (-3, 7)","10.86 (-16.93, 34.1)"
"Dayton, OH",Overall,45,"238,294",27.4,"24.7 (24.2, 25.4)","1.016 (0.965, 1.070)","93 (11, 175)","4.98 (0.57, 9.37)"
"Dayton, OH",Low UHII,14,"67,682",27.4,"24.9 (23.7, 32.1)","1.008 (0.926, 1.098)","27 (-35, 87)","5.13 (-6.80, 16.69)"
"Dayton, OH",High UHII,3,"8,536",27.3,"24.7 (24.1, 25.5)","1.040 (0.949, 1.140)","12 (-9, 33)","21.75 (-16.36, 57.80)"
"Deltona-Daytona Beach-Ormond Beach, FL",Overall,42,"230,528",29.5,"28.0 (27.8, 28.5)","1.035 (0.975, 1.098)","403 (294, 516)","19.74 (14.41, 25.30)"
"Deltona-Daytona Beach-Ormond Beach, FL",Low UHII,19,"106,750",29.5,"28.2 (27.6, 31.4)","0.948 (0.867, 1.037)","-197 (-301, -86)","-20.51 (-31.30, -8.91)"
"Deltona-Daytona Beach-Ormond Beach, FL",High UHII,1,323,29.5,"28.1 (27.8, 28.5)","1.011 (0.866, 1.179)","0 (-2, 2)","10.43 (-75.21, 83.19)"
"Denver-Aurora-Lakewood, CO",Overall,112,"307,560",25.4,"21.8 (21.2, 22.9)","1.063 (1.004, 1.125)","566 (497, 633)","13.63 (11.98, 15.26)"
"Denver-Aurora-Lakewood, CO",Low UHII,38,"116,442",25,"21.8 (20.2, 28.8)","0.977 (0.896, 1.064)","-45 (-118, 17)","-2.74 (-7.18, 1.00)"
"Denver-Aurora-Lakewood, CO",High UHII,1,931,25.5,"21.8 (21.2, 22.9)","1.034 (0.884, 1.210)","1 (-3, 6)","9.30 (-23.26, 44.95)"
"Des Moines-West Des Moines, IA",Overall,31,"112,441",28.4,"24.9 (24.2, 26.0)","1.010 (0.933, 1.093)","57 (-26, 141)","6.56 (-3.00, 16.27)"
"Des Moines-West Des Moines, IA",Low UHII,10,"20,476",28.4,"25.1 (23.6, 32.1)","1.078 (0.933, 1.245)","65 (26, 104)","37.85 (15.10, 60.86)"
"Des Moines-West Des Moines, IA",High UHII,-,-,-,-,-,-,-
"Detroit-Dearborn-Livonia, MI",Overall,74,"785,352",27.3,"24.0 (23.4, 25.0)","1.088 (1.044, 1.133)","2,531 (2,369, 2,682)","62.55 (58.56, 66.29)"
"Detroit-Dearborn-Livonia, MI",Low UHII,5,"30,833",27.1,"24.3 (22.9, 31.9)","0.988 (0.885, 1.102)","-25 (-87, 34)","-13.41 (-46.14, 17.8)"
"Detroit-Dearborn-Livonia, MI",High UHII,48,"521,578",27.4,"24.0 (23.4, 25.1)","1.080 (1.031, 1.132)","1,508 (1,366, 1,642)","59.27 (53.67, 64.51)"
"Durham-Chapel Hill, NC",Overall,17,"72,359",29.2,"26.5 (26.1, 27.2)","0.976 (0.897, 1.062)","-37 (-100, 26)","-6.05 (-16.45, 4.32)"
"Durham-Chapel Hill, NC",Low UHII,6,"24,399",29.1,"26.7 (25.6, 32.2)","0.951 (0.838, 1.080)","-21 (-67, 19)","-8.94 (-29.23, 8.37)"
"Durham-Chapel Hill, NC",High UHII,2,"4,571",29.2,"26.5 (26.1, 27.2)","1.008 (0.888, 1.144)","3 (-16, 20)","9.98 (-53.89, 66.13)"
"El Paso, TX",Overall,50,"156,402",32.2,"29.3 (28.8, 30.2)","1.050 (0.979, 1.126)","309 (221, 401)","22.18 (15.86, 28.79)"
"El Paso, TX",Low UHII,13,"52,182",32.2,"29.6 (28.3, 35.0)","1.077 (0.958, 1.210)","109 (28, 181)","22.96 (5.94, 38.15)"
"El Paso, TX",High UHII,-,-,-,-,-,-,-
"Elgin, IL",Overall,22,"113,367",27.4,"24.1 (23.5, 25.0)","0.996 (0.928, 1.069)","19 (-56, 91)","2.34 (-6.81, 11.05)"
"Elgin, IL",Low UHII,11,"34,245",27.3,"24.3 (22.9, 32.3)","1.011 (0.905, 1.128)","23 (-22, 66)","8.53 (-8.44, 24.90)"
"Elgin, IL",High UHII,-,-,-,-,-,-,-
"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL",Overall,78,"494,804",30.1,"29.1 (28.9, 29.4)","1.031 (0.998, 1.066)","366 (262, 464)","8.88 (6.35, 11.24)"
"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL",Low UHII,7,"19,713",30,"29.1 (28.6, 32.8)","1.069 (0.990, 1.156)","53 (27, 77)","25.78 (13.37, 37.58)"
"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL",High UHII,26,"171,446",30.1,"29.1 (28.9, 29.4)","0.997 (0.957, 1.039)","-30 (-111, 40)","-2.12 (-7.82, 2.80)"
"Fort Worth-Arlington, TX",Overall,90,"358,887",33.4,"30.6 (30.1, 31.5)","0.986 (0.936, 1.038)","-192 (-281, -101)","-6.35 (-9.31, -3.36)"
"Fort Worth-Arlington, TX",Low UHII,15,"57,855",33.3,"30.8 (29.6, 36.5)","0.950 (0.862, 1.046)","-122 (-182, -60)","-26.03 (-38.85, -12.73)"
"Fort Worth-Arlington, TX",High UHII,-,-,-,-,-,-,-
"Fresno, CA",Overall,46,"123,519",31.9,"28.4 (27.9, 29.3)","0.942 (0.880, 1.009)","-310 (-387, -240)","-26.01 (-32.51, -20.13)"
"Fresno, CA",Low UHII,9,"45,685",31.8,"28.5 (27.3, 36.8)","0.943 (0.845, 1.054)","-91 (-154, -25)","-19.68 (-33.23, -5.40)"
"Fresno, CA",High UHII,-,-,-,-,-,-,-
"Gary, IN",Overall,34,"280,831",27.8,"24.6 (24.0, 25.5)","1.064 (1.006, 1.126)","656 (547, 773)","44.17 (36.81, 52.02)"
"Gary, IN",Low UHII,12,"86,928",27.8,"24.8 (23.5, 32.7)","1.069 (0.974, 1.174)","258 (162, 350)","52.54 (33.12, 71.45)"
"Gary, IN",High UHII,7,"70,093",27.9,"24.6 (24.1, 25.6)","1.039 (0.965, 1.118)","70 (-2, 144)","21.09 (-0.64, 43.37)"
"Grand Rapids-Wyoming, MI",Overall,39,"184,677",26.5,"23.1 (22.5, 24.1)","1.012 (0.948, 1.081)","17 (-72, 106)","1.12 (-4.71, 6.95)"
"Grand Rapids-Wyoming, MI",Low UHII,11,"32,648",26.4,"23.3 (21.8, 30.9)","0.956 (0.850, 1.076)","-35 (-84, 10)","-11.96 (-28.54, 3.28)"
"Grand Rapids-Wyoming, MI",High UHII,6,"29,211",26.6,"23.1 (22.5, 24.1)","0.994 (0.906, 1.090)","-28 (-79, 17)","-14.16 (-39.29, 8.31)"
"Greensboro-High Point, NC",Overall,33,"130,004",28.7,"25.9 (25.5, 26.7)","1.006 (0.938, 1.079)","27 (-47, 102)","2.46 (-4.22, 9.21)"
"Greensboro-High Point, NC",Low UHII,12,"40,010",28.6,"26.2 (25.1, 32.1)","1.023 (0.919, 1.139)","50 (0, 95)","13.68 (0.07, 26.33)"
"Greensboro-High Point, NC",High UHII,9,"9,758",28.7,"26.0 (25.6, 26.7)","1.028 (0.917, 1.151)","12 (-10, 34)","14.89 (-12.25, 43.11)"
"Greenville-Anderson-Mauldin, SC",Overall,47,"203,458",29.2,"26.5 (26.1, 27.3)","1.079 (1.022, 1.139)","490 (423, 555)","28.83 (24.91, 32.68)"
"Greenville-Anderson-Mauldin, SC",Low UHII,22,"101,777",29.1,"26.7 (25.7, 32.7)","1.083 (1.008, 1.163)","272 (212, 327)","32.54 (25.33, 39.14)"
"Greenville-Anderson-Mauldin, SC",High UHII,7,"5,154",29,"26.4 (26.0, 27.2)","1.021 (0.907, 1.151)","4 (-9, 17)","10.17 (-21.03, 40.43)"
"Harrisburg-Carlisle, PA",Overall,32,"157,151",27.7,"24.7 (24.1, 25.6)","1.041 (0.978, 1.107)","225 (138, 305)","19.41 (11.89, 26.26)"
"Harrisburg-Carlisle, PA",Low UHII,8,"27,169",27.6,"24.8 (23.5, 32.2)","1.025 (0.918, 1.145)","38 (-8, 89)","18.68 (-3.83, 43.66)"
"Harrisburg-Carlisle, PA",High UHII,2,"7,187",27.8,"24.7 (24.2, 25.6)","1.062 (0.957, 1.179)","15 (-6, 34)","32.33 (-13.16, 74.50)"
"Hartford-West Hartford-East Hartford, CT",Overall,102,"383,135",26.8,"23.6 (23.0, 24.6)","1.006 (0.962, 1.053)","-94 (-181, 0)","-3.19 (-6.14, 0.01)"
"Hartford-West Hartford-East Hartford, CT",Low UHII,45,"102,071",26.7,"23.8 (22.4, 31.8)","0.983 (0.912, 1.060)","-71 (-127, -20)","-7.95 (-14.32, -2.26)"
"Hartford-West Hartford-East Hartford, CT",High UHII,36,"114,211",26.9,"23.7 (23.1, 24.7)","1.003 (0.947, 1.063)","-73 (-139, -8)","-8.92 (-17.12, -1.01)"
"Houston-The Woodlands-Sugar Land, TX",Overall,271,"1,004,135",30.8,"29.2 (29.0, 29.7)","1.013 (0.985, 1.043)","590 (513, 669)","7.50 (6.51, 8.51)"
"Houston-The Woodlands-Sugar Land, TX",Low UHII,43,"189,731",30.7,"29.3 (28.7, 33.8)","0.968 (0.916, 1.024)","-212 (-273, -148)","-16.00 (-20.66, -11.18)"
"Houston-The Woodlands-Sugar Land, TX",High UHII,134,"385,652",30.8,"29.3 (29.0, 29.7)","1.015 (0.973, 1.058)","164 (91, 235)","5.07 (2.81, 7.28)"
"Indianapolis-Carmel-Anderson, IN",Overall,86,"437,949",27.9,"25.0 (24.5, 25.8)","1.030 (0.988, 1.073)","450 (359, 532)","13.97 (11.14, 16.53)"
"Indianapolis-Carmel-Anderson, IN",Low UHII,31,"106,824",27.8,"25.2 (24.0, 33.4)","1.044 (0.975, 1.119)","198 (131, 265)","23.45 (15.50, 31.29)"
"Indianapolis-Carmel-Anderson, IN",High UHII,13,"65,337",27.9,"25.0 (24.5, 25.9)","1.020 (0.958, 1.087)","58 (2, 111)","14.28 (0.61, 27.06)"
"Jackson, MS",Overall,33,"121,356",30,"27.8 (27.5, 28.5)","1.025 (0.953, 1.102)","155 (84, 231)","19.11 (10.31, 28.44)"
"Jackson, MS",Low UHII,13,"63,826",30,"28.0 (27.1, 31.9)","1.006 (0.907, 1.116)","54 (-20, 119)","12.27 (-4.57, 26.88)"
"Jackson, MS",High UHII,7,"4,575",30,"27.9 (27.5, 28.5)","1.049 (0.913, 1.204)","7 (-6, 21)","26.24 (-23.98, 78.38)"
"Jacksonville, FL",Overall,59,"365,172",29.6,"27.9 (27.6, 28.4)","0.939 (0.898, 0.982)","-783 (-879, -688)","-31.21 (-35.02, -27.41)"
"Jacksonville, FL",Low UHII,21,"110,030",29.6,"28.0 (27.3, 33.2)","0.906 (0.841, 0.976)","-393 (-466, -325)","-46.88 (-55.68, -38.77)"
"Jacksonville, FL",High UHII,8,"44,511",29.7,"27.9 (27.6, 28.4)","0.932 (0.848, 1.025)","-126 (-203, -53)","-50.35 (-81.04, -21.09)"
"Kansas City, MO-KS",Overall,126,"444,329",31,"27.2 (26.6, 28.5)","1.042 (0.993, 1.094)","666 (575, 757)","19.21 (16.58, 21.83)"
"Kansas City, MO-KS",Low UHII,43,"121,822",31,"27.5 (25.9, 35.1)","1.050 (0.968, 1.139)","250 (179, 320)","25.72 (18.40, 32.87)"
"Kansas City, MO-KS",High UHII,20,"40,306",31.1,"27.3 (26.7, 28.5)","1.068 (0.971, 1.174)","119 (68, 164)","38.33 (21.90, 52.87)"
"Knoxville, TN",Overall,46,"209,666",27.5,"25.2 (24.8, 25.9)","1.016 (0.963, 1.071)","95 (15, 175)","5.83 (0.93, 10.75)"
"Knoxville, TN",Low UHII,20,"96,985",27.5,"25.3 (24.5, 30.7)","1.010 (0.937, 1.090)","22 (-48, 93)","2.87 (-6.14, 11.95)"
"Knoxville, TN",High UHII,6,"11,033",27.6,"25.2 (24.8, 25.9)","1.011 (0.907, 1.127)","6 (-31, 39)","8.93 (-45.90, 58.56)"
"Lake County-Kenosha County, IL-WI",Overall,41,"245,826",27,"23.5 (22.9, 24.5)","0.967 (0.915, 1.022)","-175 (-272, -78)","-10.3 (-16.04, -4.60)"
"Lake County-Kenosha County, IL-WI",Low UHII,31,"151,626",27,"23.8 (22.3, 32.3)","0.973 (0.904, 1.046)","-119 (-218, -25)","-11.14 (-20.43, -2.34)"
"Lake County-Kenosha County, IL-WI",High UHII,-,-,-,-,-,-,-
