Group,Subpopulation,UHII Level,# MSAs,# ZIP Codes,# Hospitalizations,99th Temp. %ile (°C),MHP (95% CI),MHT (°C) (95% CI),RR (99th vs. MHP) (95% CI),AN (Temp.  ≥ MHP) (95% CI),"Annual AR (Per 100,000 Beneficiaries) (95% CI)"
Race,White,Low UHII,120,"3,267","10,897,789",28.6,"93 (88, 100)","25.8 (24.6, 32.8)","1.010 (0.992, 1.028)","1,421 (579, 2,028)","1.52 (0.62, 2.17)"
Race,White,High UHII,96,"2,126","8,207,103",28.4,"92 (89, 97)","25.5 (24.8, 27.1)","1.020 (0.998, 1.042)","7,436 (6,752, 7,950)","12.86 (11.68, 13.75)"
Race,Black,Overall,118,"8,668","5,945,058",28.6,"93 (91, 95)","25.9 (25.4, 26.5)","1.024 (1.007, 1.041)","6,796 (6,477, 7,044)","17.46 (16.63, 18.09)"
Race,Black,Low UHII,114,"2,575","672,026",28.6,"94 (50, 100)","26.2 (15.4, 32.7)","1.009 (0.968, 1.051)","745 (578, 865)","15.14 (11.75, 17.57)"
Race,Black,High UHII,88,"1,986","2,746,097",28.4,"94 (92, 98)","25.9 (25.4, 27.6)","1.020 (0.997, 1.044)","3,813 (3,594, 3,982)","23.05 (21.73, 24.08)"
Diabetes,No,Overall,120,"9,892","22,605,580",28.6,"94 (92, 98)","26.2 (25.7, 27.9)","1.008 (0.998, 1.018)","10,958 (10,367, 11,332)","4.24 (4.01, 4.39)"
Diabetes,No,Low UHII,120,"3,265","6,164,866",28.6,"95 (90, 100)","26.4 (25.1, 32.8)","1.006 (0.991, 1.022)","837 (442, 1,114)","1.12 (0.59, 1.50)"
Diabetes,No,High UHII,94,"2,130","4,833,500",28.4,"94 (91, 99)","26 (25.2, 28.4)","1.013 (0.992, 1.034)","2,773 (2,426, 3,002)","5.28 (4.62, 5.72)"
Diabetes,Yes,Overall,120,"9,826","25,980,128",28.6,"92 (90, 94)","25.7 (25.2, 26.2)","1.021 (1.009, 1.033)","25,249 (24,450, 25,801)","19.36 (18.75, 19.78)"
Diabetes,Yes,Low UHII,120,"3,246","5,990,226",28.6,"93 (88, 100)","25.8 (24.6, 32.8)","1.012 (0.994, 1.030)","1,506 (1,010, 1,829)","4.71 (3.16, 5.72)"
Diabetes,Yes,High UHII,96,"2,113","7,308,779",28.4,"92 (90, 94)","25.5 (25, 26)","1.034 (1.012, 1.056)","9,999 (9,432, 10,443)","29.56 (27.88, 30.87)"
CKD,No,Overall,120,"9,893","20,115,414",28.6,"95 (92, 98)","26.5 (25.7, 27.9)","1.007 (0.997, 1.017)","10,265 (9,843, 10,537)","3.87 (3.71, 3.97)"
CKD,No,Low UHII,120,"3,264","5,297,028",28.6,"95 (90, 100)","26.4 (25.1, 32.8)","1.005 (0.989, 1.022)","321 (-41, 570)","0.43 (-0.05, 0.76)"
CKD,No,High UHII,93,"2,130","4,757,851",28.4,"94 (91, 99)","26 (25.3, 28.4)","1.015 (0.993, 1.037)","3,896 (3,555, 4,178)","6.78 (6.18, 7.27)"
CKD,Yes,Overall,120,"9,827","28,469,413",28.6,"92 (90, 93)","25.7 (25.2, 25.9)","1.024 (1.013, 1.035)","29,113 (28,279, 29,678)","23.56 (22.89, 24.02)"
CKD,Yes,Low UHII,120,"3,251","6,858,978",28.6,"93 (89, 99)","25.8 (24.9, 28.6)","1.012 (0.995, 1.030)","1,567 (1,026, 1,959)","4.91 (3.21, 6.14)"
CKD,Yes,High UHII,97,"2,108","7,382,643",28.4,"92 (90, 95)","25.5 (25, 26.3)","1.029 (1.008, 1.050)","11,057 (10,511, 11,507)","38.35 (36.45, 39.91)"
